id,motion_a_x,motion_a_y,motion_a_z,motion_b_x,motion_b_y,motion_b_z,cardiovascular,nervous,pulmonary,expansion_a,expansion_b
0,646,530,542,642,471,538,0,49,290,526,0
1,646,530,541,642,470,539,0,51,336,526,0
2,647,530,540,643,472,537,0,49,302,525,0
3,648,530,539,644,471,537,0,46,337,526,0
4,648,529,540,643,471,538,0,49,333,526,0
5,647,530,539,643,472,537,0,49,286,525,0
6,646,533,539,641,473,537,1,49,371,529,0
7,648,529,540,643,471,538,3,50,284,525,0
8,648,529,540,644,470,537,0,48,385,526,0
9,646,532,538,643,473,538,0,52,297,526,0
10,646,531,539,643,472,536,0,50,375,526,0
11,648,531,539,643,471,536,0,50,282,526,0
12,646,531,540,643,471,539,0,55,325,534,0
13,647,531,539,644,472,536,0,56,337,525,0
14,648,531,540,643,471,536,0,57,354,525,0
15,645,534,539,641,470,538,0,58,335,530,0
16,646,532,540,642,470,539,0,59,377,525,0
17,647,530,538,641,469,538,0,58,299,530,0
18,646,529,538,641,470,539,0,58,354,533,0
19,648,530,539,642,473,537,0,56,335,544,0
20,648,530,539,642,471,536,0,55,379,534,0
21,648,530,539,643,471,538,0,54,331,526,0
22,650,530,540,642,474,536,0,53,314,530,0
23,649,530,540,642,474,537,0,50,359,526,0
24,647,530,539,643,474,538,0,52,320,525,0
25,647,530,539,642,472,537,0,50,301,526,0
26,649,531,539,642,471,535,0,53,305,526,0
27,649,531,539,644,471,535,0,53,356,545,0
28,649,530,541,644,471,537,0,54,334,526,0
29,648,532,537,644,470,537,0,55,293,529,0
30,647,531,538,644,471,537,0,55,353,527,0
31,649,531,539,644,472,536,0,54,322,523,0
32,650,530,538,643,472,538,0,57,301,530,0
33,648,530,539,642,471,537,0,57,351,528,0
34,648,531,541,641,471,536,0,56,303,528,0
35,649,532,542,643,471,538,0,54,400,537,0
36,646,533,538,642,472,538,0,53,303,522,1
37,648,531,538,643,471,538,0,50,393,534,0
38,648,531,539,644,472,537,0,49,400,533,0
39,648,531,540,642,474,537,0,46,288,526,0
40,647,531,541,641,475,538,0,46,366,537,0
41,647,531,540,642,474,538,0,44,347,526,0
42,646,529,538,644,474,539,0,45,296,526,0
43,646,528,537,644,472,538,0,45,358,528,0
44,647,533,540,644,472,539,0,43,335,526,0
45,648,532,540,644,474,539,0,46,360,529,0
46,648,532,540,644,472,539,0,47,382,533,0
47,644,533,539,643,470,537,0,48,319,537,0
48,646,530,540,644,471,537,0,51,388,529,0
49,647,528,541,644,471,536,0,51,335,525,0
50,647,533,539,643,472,539,0,52,326,528,0
51,648,530,538,643,472,538,0,53,299,525,0
52,647,532,539,643,471,539,0,53,328,530,0
53,648,530,541,642,473,539,2,52,363,538,0
54,647,529,540,643,473,539,12,51,326,526,0
55,646,532,539,644,473,538,0,49,330,527,0
56,646,531,540,644,473,537,0,50,341,523,3
57,647,531,540,645,473,539,0,53,320,523,0
58,646,532,539,641,471,538,0,47,330,529,0
59,646,530,540,642,468,536,0,44,329,526,0
60,646,531,538,643,470,535,0,46,355,526,0
61,645,533,536,643,469,535,0,48,306,528,0
62,644,535,538,643,470,534,0,48,316,525,0
63,645,533,540,642,470,533,0,49,293,527,0
64,646,534,539,642,469,533,0,49,382,527,0
65,645,534,538,643,470,536,0,49,332,527,0
66,645,532,538,640,470,536,0,46,302,526,0
67,644,532,539,645,469,536,0,48,328,527,0
68,645,533,539,645,470,536,0,50,332,523,0
69,645,534,536,639,471,536,0,48,306,534,0
70,648,533,535,642,472,536,0,48,364,536,0
71,647,533,539,643,473,534,0,48,364,526,0
72,646,533,539,641,473,538,0,48,320,527,0
73,644,534,540,642,472,536,0,51,346,523,0
74,645,536,540,642,471,533,0,50,303,529,0
75,645,535,536,641,469,534,0,48,322,526,0
76,645,535,538,642,466,533,0,49,295,530,0
77,643,535,536,641,467,537,0,52,350,534,0
78,643,535,538,644,465,535,0,51,335,529,0
79,646,535,539,641,466,534,0,48,293,526,0
80,646,536,537,641,468,534,0,48,376,526,0
81,645,535,537,642,469,535,0,46,316,529,0
82,646,536,540,641,470,534,0,45,342,528,0
83,645,532,541,643,470,539,2,44,306,525,0
84,646,532,540,643,470,537,0,43,348,529,0
85,645,532,540,641,469,538,3,43,332,528,0
86,646,531,539,641,471,537,22,43,356,528,0
87,647,531,539,642,470,537,22,44,381,539,0
88,647,530,537,643,471,538,22,44,318,525,0
89,649,527,537,643,472,536,22,46,338,522,2
90,649,527,538,641,473,538,25,46,336,534,0
91,649,527,539,643,472,540,22,47,310,524,0
92,649,526,535,645,468,541,25,49,342,534,0
93,648,528,535,643,470,540,10,52,297,527,0
94,648,527,535,642,471,540,21,53,415,534,0
95,650,527,536,644,470,540,19,54,312,531,0
96,648,526,535,644,470,541,1,55,362,529,0
97,648,527,537,643,469,544,3,55,400,535,0
98,650,528,539,643,473,541,23,56,305,537,0
99,649,528,538,643,473,540,23,57,342,534,0
100,650,525,540,643,474,537,22,57,326,531,0
101,649,524,536,643,473,540,23,58,299,534,0
102,649,524,538,643,472,541,0,59,369,538,0
103,648,526,540,643,472,541,0,56,311,529,0
104,649,527,537,643,472,540,0,59,346,530,0
105,647,530,536,642,472,540,0,60,314,529,0
106,646,529,537,643,472,541,0,60,377,527,0
107,647,530,538,644,471,538,0,61,353,530,0
108,645,530,537,641,468,538,0,61,278,527,0
109,646,529,537,640,469,538,3,61,372,530,0
110,646,531,537,644,471,537,0,61,311,525,0
111,646,532,537,644,471,539,0,63,337,523,0
112,648,528,538,643,471,537,0,62,309,528,0
113,648,529,537,642,471,537,0,62,368,525,0
114,648,527,537,642,471,537,0,60,284,526,0
115,647,528,536,644,469,535,0,61,336,527,0
116,645,528,538,643,470,537,0,61,319,530,0
117,646,530,538,643,468,538,0,62,324,523,2
118,649,530,536,641,471,539,2,57,276,528,0
119,649,531,535,641,471,539,0,62,344,523,0
120,648,531,536,643,470,536,0,51,295,525,0
121,645,528,536,643,470,538,0,49,335,526,0
122,645,529,535,642,468,538,0,46,355,526,0
123,647,528,537,642,468,538,0,48,358,530,0
124,648,529,537,643,469,539,0,47,298,535,0
125,647,529,537,643,470,539,0,44,346,526,0
126,646,530,537,643,470,538,0,46,286,527,0
127,648,528,537,642,469,538,0,48,318,525,0
128,648,529,538,643,468,537,0,49,331,528,0
129,646,530,536,642,469,538,0,51,291,527,0
130,647,530,537,643,468,538,0,52,351,526,0
131,647,529,537,644,468,538,0,52,322,526,0
132,647,530,535,642,468,537,0,53,296,531,0
133,647,528,537,644,469,539,1,55,310,529,0
134,647,529,537,642,467,536,0,56,332,525,0
135,649,529,536,642,468,537,0,54,338,526,0
136,646,529,538,641,469,541,0,57,304,525,0
137,646,530,537,642,467,539,1,58,349,529,0
138,649,528,537,642,468,538,0,58,312,528,0
139,648,527,534,643,470,540,0,59,302,525,0
140,647,527,534,643,470,539,0,59,355,527,0
141,648,527,536,642,468,537,0,59,286,526,0
142,649,526,537,641,470,539,0,59,342,548,0
143,650,526,537,643,470,540,0,59,356,525,0
144,645,531,535,642,470,538,0,59,289,530,0
145,646,528,536,643,469,539,0,60,349,530,0
146,647,528,537,643,468,538,0,60,320,527,0
