id,motion_a_x,motion_a_y,motion_a_z,motion_b_x,motion_b_y,motion_b_z,cardiovascular,nervous,pulmonary,expansion_a,expansion_b
147,647,529,536,642,471,539,0,61,313,526,0
148,649,530,536,642,468,537,0,58,279,526,0
149,648,528,536,643,470,539,0,61,329,525,0
150,648,527,537,644,470,540,0,61,373,529,0
151,649,526,537,645,469,540,0,61,330,526,0
152,647,528,537,642,469,538,0,59,303,525,0
153,648,527,537,642,469,538,0,57,349,551,0
154,648,527,536,642,470,538,0,54,354,526,0
155,649,527,536,643,469,538,0,56,331,527,0
156,646,528,535,644,468,537,0,55,334,535,0
157,647,529,539,644,470,539,0,55,310,526,0
158,649,529,538,643,469,540,0,54,335,534,0
159,649,528,539,642,469,539,23,54,340,529,0
160,648,528,537,642,470,540,30,55,316,545,0
161,649,527,537,643,471,542,27,55,371,539,0
162,645,530,537,642,471,538,0,56,286,526,0
163,647,530,537,642,472,539,0,58,335,526,0
164,647,529,536,643,470,539,0,59,334,530,0
165,647,528,535,642,471,538,0,60,324,527,0
166,646,528,536,642,471,538,0,60,356,526,0
167,646,526,537,642,470,539,0,60,330,528,0
168,646,528,535,642,469,541,0,61,287,529,0
169,647,526,536,643,472,539,0,60,321,528,0
170,649,525,536,642,471,541,0,61,386,527,0
171,645,528,536,641,471,540,0,61,305,546,0
172,647,528,536,641,470,539,0,62,373,527,0
173,646,527,535,643,470,537,0,62,268,527,0
174,647,528,538,643,471,539,0,61,335,533,0
175,648,525,535,642,469,540,0,61,301,527,0
176,649,530,537,644,469,539,0,58,301,526,0
177,648,530,537,643,468,540,0,57,347,527,0
178,647,528,537,643,470,541,0,56,343,527,0
179,647,527,537,643,468,538,0,58,306,528,0
180,649,528,538,643,469,537,0,57,324,527,0
181,649,529,537,643,469,539,0,56,341,529,0
182,649,527,538,641,468,539,0,56,361,527,0
183,648,528,535,641,471,538,0,52,293,526,0
184,647,527,536,644,469,535,0,54,308,526,0
185,647,529,534,642,467,540,0,54,333,529,0
186,648,528,533,641,470,541,0,55,406,531,0
187,647,528,537,645,472,540,0,55,291,530,0
188,646,529,536,643,470,539,0,57,326,523,2
189,648,528,535,641,468,537,0,56,322,527,0
190,647,528,535,642,469,537,0,56,365,533,0
191,648,526,536,642,470,539,0,54,345,526,0
192,647,528,534,642,469,541,0,60,326,523,2
193,647,528,534,643,468,539,0,61,349,524,0
194,649,528,536,642,469,537,0,60,325,528,0
195,647,526,538,643,470,538,0,60,350,541,0
196,645,526,537,644,469,537,0,62,338,523,0
197,649,528,534,641,469,538,0,61,284,526,0
198,649,528,537,641,469,538,0,59,349,527,0
199,647,530,537,642,471,540,0,60,283,527,0
200,648,527,536,644,470,537,0,62,275,529,0
201,648,527,535,644,471,537,0,63,344,526,0
202,646,528,537,643,469,538,10,63,309,524,0
203,646,528,537,643,470,539,0,64,378,528,0
204,648,528,537,643,471,539,9,63,357,533,0
205,648,528,538,642,470,539,5,64,362,527,0
206,646,529,539,642,471,539,0,64,315,533,0
207,646,532,537,641,471,540,1,64,344,529,0
208,648,530,536,643,474,538,0,64,277,527,0
209,647,529,535,642,472,537,0,64,330,527,0
210,646,528,535,644,473,537,0,64,349,527,0
211,647,527,537,644,473,537,0,65,358,530,0
212,647,531,538,643,472,536,0,64,278,527,0
213,648,530,537,642,471,537,0,64,346,527,0
214,647,531,537,642,472,538,0,65,302,529,0
215,646,530,537,643,471,536,0,65,367,527,0
216,646,530,537,642,472,537,0,64,294,528,0
217,645,529,537,643,472,537,0,70,371,523,0
218,645,530,539,644,472,539,0,62,316,525,0
219,647,530,539,644,472,539,0,59,346,527,0
220,647,529,538,643,472,538,0,57,304,529,0
221,647,531,539,643,471,536,0,54,315,525,0
222,647,527,538,640,473,539,0,50,317,526,0
223,648,529,537,642,470,537,0,47,331,534,0
224,649,530,539,642,471,538,4,47,356,525,0
225,648,529,536,643,473,540,23,46,315,530,0
226,646,530,537,643,471,537,0,47,302,530,0
227,648,530,534,643,471,540,0,47,290,526,0
228,647,530,537,642,472,539,3,49,290,529,0
229,645,529,537,643,471,539,0,50,333,526,0
230,649,528,537,640,470,539,0,49,302,526,0
231,646,529,535,642,472,538,0,53,310,530,0
232,649,530,534,641,472,538,0,54,315,528,0
233,647,528,535,643,472,538,0,54,384,527,0
234,646,530,536,643,471,539,0,55,315,534,0
235,648,529,536,645,472,537,0,54,305,528,0
236,646,529,537,641,472,538,0,52,300,526,0
237,647,527,538,644,472,539,0,51,351,529,0
238,648,529,537,642,471,539,0,49,300,525,0
239,647,530,535,640,472,538,0,48,308,525,0
240,648,530,535,642,471,539,0,47,337,534,0
241,647,528,535,641,471,535,0,46,314,525,0
242,647,528,536,642,470,537,0,46,350,527,0
243,648,530,536,643,470,538,0,46,339,536,0
244,648,529,537,643,471,537,0,46,312,527,0
245,647,531,537,644,471,539,0,46,357,529,0
246,645,531,536,641,472,540,0,47,268,527,0
247,647,531,537,641,472,536,0,48,293,525,0
248,647,531,537,643,472,537,0,49,304,525,0
249,645,531,537,644,472,537,0,50,367,530,0
250,648,529,536,641,471,536,0,52,351,534,0
251,647,530,537,642,471,535,0,51,402,527,0
252,648,532,539,643,472,535,15,54,296,530,0
253,647,531,537,641,473,537,16,54,350,526,0
254,647,530,537,643,472,538,18,55,288,527,0
255,647,531,539,643,473,538,18,56,332,534,0
256,646,531,539,644,474,537,0,57,337,527,0
257,646,530,538,646,473,536,0,58,388,530,0
258,646,531,539,645,472,536,0,58,321,525,0
259,646,532,538,643,473,537,0,59,314,529,0
260,646,529,537,644,472,538,0,59,333,532,0
261,646,531,537,643,472,538,0,57,385,526,0
262,647,532,537,645,472,538,0,59,348,535,0
263,648,532,539,643,472,537,0,56,286,530,0
264,647,531,538,643,474,537,0,56,343,530,0
265,646,529,539,643,473,536,0,51,340,527,0
266,646,530,538,642,472,538,0,57,292,523,0
267,647,530,536,643,470,539,0,47,279,526,0
268,647,530,538,642,472,538,0,46,389,534,0
269,646,531,538,643,473,538,0,45,318,527,0
270,647,530,538,643,472,536,0,46,359,533,0
271,647,530,539,644,474,536,11,44,337,527,0
272,644,533,537,641,473,537,20,46,310,526,0
273,644,532,538,642,472,537,8,48,353,529,0
274,646,532,537,642,472,537,2,48,322,534,0
275,648,531,539,642,472,538,0,49,284,530,0
276,648,531,539,644,472,537,0,50,338,527,0
277,646,532,539,642,474,537,0,50,297,527,0
278,645,534,537,643,471,537,0,53,323,525,0
279,646,533,536,642,470,537,0,54,361,534,0
280,645,532,539,642,470,536,0,52,332,527,0
281,645,533,538,643,471,538,0,55,353,530,0
282,647,533,539,643,473,536,0,54,337,527,0
283,647,533,538,645,472,537,0,56,307,527,0
284,646,531,538,644,474,537,0,55,366,527,0
285,645,530,539,643,473,538,0,53,336,527,0
286,645,530,540,642,473,537,0,50,329,527,0
287,648,531,540,643,474,536,0,52,336,527,0
288,647,532,537,642,470,537,0,49,308,529,0
289,647,535,536,642,471,539,0,47,351,527,0
290,648,531,539,643,471,537,0,45,299,529,0
291,644,531,539,643,471,537,0,46,352,523,0
292,646,531,538,642,472,536,0,42,292,527,0
293,648,531,537,641,472,538,0,43,301,528,0
294,649,531,537,643,472,538,0,43,351,531,0
295,648,529,540,643,474,538,0,43,298,527,0
296,647,527,541,643,473,538,0,45,345,531,0
297,647,529,539,643,473,539,0,46,369,541,0
298,647,531,537,643,475,540,0,48,286,526,0
299,647,530,536,643,473,537,0,49,341,525,0
300,647,529,537,644,472,537,0,50,317,530,0
301,648,531,538,643,471,538,0,51,308,529,0
302,647,531,537,643,472,538,0,52,366,528,0
303,646,530,538,643,472,537,0,53,281,526,0
304,646,530,538,643,471,538,0,54,365,527,0
305,647,529,538,643,471,540,0,55,323,527,0
306,648,527,537,644,471,540,0,55,339,528,0
307,646,529,537,642,474,539,0,56,300,526,0
308,648,529,536,641,473,539,2,56,285,530,0
309,646,529,536,641,471,539,0,52,351,529,0
310,647,529,537,642,474,541,0,54,304,529,0
311,645,530,537,643,473,538,0,53,387,549,0
312,644,529,537,643,472,539,0,52,329,536,0
313,646,529,538,643,471,537,0,51,310,535,0
314,647,529,538,642,472,539,0,51,386,537,0
315,648,533,536,642,471,539,0,50,292,536,0
316,647,533,536,642,471,539,0,50,370,535,0
317,649,530,538,642,471,540,0,51,331,532,0
318,647,529,536,642,472,537,0,51,296,535,0
319,647,530,536,642,471,537,0,54,350,530,0
320,649,527,537,644,470,539,0,50,289,528,0
321,648,527,537,643,470,538,0,51,331,532,0
322,648,528,536,642,470,540,0,51,309,526,0
323,648,528,536,641,471,540,0,53,365,525,0
324,647,528,538,642,470,540,0,50,285,527,0
325,648,526,535,642,470,540,0,51,336,529,0
326,648,527,537,642,469,539,0,50,307,529,0
327,648,528,534,640,469,540,0,51,326,532,0
328,647,527,535,642,469,539,0,50,400,527,0
329,648,525,539,642,470,540,1,52,325,530,0
330,648,529,536,641,470,538,0,50,321,527,0
331,647,526,537,642,470,540,0,52,318,527,0
332,645,528,538,642,470,539,0,59,291,524,0
333,646,529,538,643,471,540,0,58,392,529,0
334,649,526,537,643,472,539,0,58,354,540,0
335,646,532,537,644,470,536,0,58,299,526,0
336,646,527,537,643,472,542,0,58,338,528,0
337,646,526,537,643,473,541,0,58,344,542,0
338,647,528,537,644,472,540,0,58,315,539,0
339,647,529,537,643,473,537,0,59,382,540,0
340,648,527,538,643,472,539,0,59,323,537,0
341,647,528,537,643,472,539,0,59,289,538,0
342,648,528,537,644,472,539,0,59,388,544,0
343,648,526,538,643,472,539,0,58,320,538,0
344,647,528,536,642,472,538,0,57,322,548,0
345,647,529,536,642,471,538,0,54,345,541,0
346,647,527,537,642,470,541,0,60,261,536,0
347,646,528,539,641,469,540,0,57,343,540,0
348,649,528,537,642,470,539,0,55,366,565,0
349,649,525,537,642,472,539,0,55,341,542,0
350,648,526,538,643,470,539,0,54,335,546,0
351,648,527,534,642,470,540,0,54,312,546,0
352,649,528,536,642,470,540,0,54,333,538,0
353,649,526,538,642,470,539,0,55,335,541,0
354,649,527,536,643,472,538,0,55,316,541,0
355,649,526,537,643,473,541,0,55,358,544,0
356,650,526,538,641,470,541,0,55,314,543,0
357,648,526,539,643,471,539,0,56,342,551,0
358,649,526,539,644,470,539,0,57,349,542,0
359,648,526,538,645,471,538,0,54,339,543,0
360,647,526,538,642,471,540,0,56,351,544,0
361,646,527,536,642,471,540,0,58,269,544,0
362,647,527,537,642,471,540,0,59,396,570,0
363,648,526,536,642,473,540,0,60,321,545,0
364,648,527,537,641,470,541,0,60,357,565,0
365,648,527,537,643,471,540,0,59,315,544,0
366,648,527,538,643,472,539,0,59,317,542,0
367,647,527,539,644,471,540,0,59,359,543,0
368,649,525,537,643,471,541,0,56,343,544,0
369,648,527,538,643,472,539,0,58,291,546,0
370,649,528,537,644,472,540,0,57,327,543,0
371,648,528,538,645,473,540,0,57,343,548,0
372,647,527,538,643,473,540,0,55,326,547,0
373,649,527,537,643,472,539,0,55,331,553,0
374,647,527,536,644,473,541,0,54,343,545,0
375,647,526,537,643,473,542,0,55,378,560,0
376,648,525,537,642,473,540,0,55,321,549,0
377,648,526,535,643,471,539,0,55,333,564,0
378,648,525,536,643,471,539,0,55,391,552,0
379,650,526,538,643,473,542,0,54,278,544,0
380,649,527,538,642,472,541,0,56,339,544,0
381,649,527,537,643,473,540,0,56,290,544,0
382,649,526,537,641,473,540,0,57,340,552,0
383,649,525,534,642,471,538,0,57,295,545,0
384,649,526,535,644,473,537,0,58,376,548,0
385,649,527,537,643,472,540,0,56,282,544,0
386,649,527,538,643,472,541,0,59,343,548,0
387,648,525,539,643,471,539,0,58,300,545,0
388,648,526,538,642,470,541,0,61,306,548,0
389,647,526,537,643,471,540,0,60,370,554,0
390,648,526,536,644,470,541,0,61,320,548,0
391,649,528,537,643,469,540,0,61,331,543,0
392,649,527,539,644,470,540,0,61,386,552,0
393,648,526,538,641,472,541,0,62,292,543,0
394,648,525,536,642,472,540,0,62,417,546,0
395,648,527,535,642,469,538,0,62,286,543,0
396,649,528,535,643,469,538,0,61,336,544,0
397,648,528,537,643,470,539,0,63,317,544,0
398,649,526,537,643,470,539,0,63,383,543,0
399,649,526,536,643,470,540,0,64,336,547,0
400,649,528,536,642,471,539,0,63,322,543,0
401,650,527,535,641,470,540,0,63,325,548,0
402,650,528,536,643,469,540,0,67,358,541,0
403,648,526,538,641,469,539,0,64,303,547,0
404,646,526,537,642,470,540,0,64,338,545,0
405,648,528,536,642,470,540,1,64,312,545,0
406,648,527,537,643,470,538,0,64,404,545,0
407,647,526,536,644,469,538,0,64,376,544,0
408,649,527,538,643,470,539,0,65,284,547,0
409,646,529,537,644,470,542,0,64,339,544,0
410,645,528,536,644,470,541,0,64,349,541,0
411,646,528,536,642,469,538,0,66,288,548,0
412,646,527,538,642,471,537,0,65,353,548,0
413,647,528,536,641,470,537,0,65,314,546,0
414,648,527,537,643,471,539,0,64,356,544,0
415,650,526,538,643,471,539,0,65,280,542,0
416,650,526,536,643,470,538,0,66,330,549,0
417,648,528,538,642,470,539,0,66,287,545,0
418,647,530,537,643,470,538,0,64,318,544,0
419,645,531,536,643,470,539,0,66,327,542,0
420,649,528,535,642,471,540,0,65,290,544,0
421,649,527,535,643,471,540,0,66,377,544,0
422,648,528,537,641,469,538,0,64,282,543,0
423,647,528,535,642,470,539,4,66,338,543,0
424,647,528,535,643,469,540,0,67,288,543,0
425,646,527,536,643,469,539,0,67,343,544,0
426,647,527,536,644,471,538,0,67,304,547,0
427,646,526,537,643,470,540,0,67,362,563,0
428,648,527,537,644,469,542,0,67,356,541,0
429,650,527,537,643,468,539,0,64,331,543,0
430,648,527,535,644,471,540,0,67,335,557,0
431,648,527,536,644,471,539,0,67,360,542,0
432,649,525,536,643,471,539,0,67,374,544,0
433,648,526,537,642,470,539,0,68,325,547,0
434,648,526,536,642,470,537,0,67,332,543,0
435,647,528,537,643,469,536,0,68,359,546,0
436,647,529,536,643,469,539,0,68,316,547,0
437,647,527,536,643,469,540,0,66,373,544,0
438,646,526,538,642,469,541,0,67,298,543,0
439,647,526,536,642,467,541,0,66,340,544,0
440,648,526,536,643,468,540,0,71,310,540,0
441,647,525,537,644,468,539,0,63,353,559,0
442,648,526,538,644,468,539,0,62,335,551,0
443,648,527,535,643,470,538,0,61,284,543,0
444,650,527,536,642,470,537,0,58,348,543,0
445,648,526,534,643,469,537,0,59,342,547,0
446,649,529,536,642,469,537,0,59,283,544,0
447,647,529,536,640,468,538,0,59,408,546,0
448,646,528,537,642,468,539,0,60,324,544,0
449,648,526,535,642,470,539,0,59,306,544,0
450,647,530,535,641,467,539,0,59,279,541,0
451,644,527,536,642,468,537,0,60,347,545,0
452,650,527,536,643,467,539,0,61,303,545,0
453,651,527,538,644,468,539,0,62,365,547,0
454,648,528,536,643,470,540,0,62,283,546,0
455,648,527,536,642,469,540,3,63,357,547,0
456,647,528,536,643,469,540,0,62,320,543,0
457,646,529,534,643,470,539,0,60,309,543,0
458,647,528,536,642,469,538,0,65,349,544,0
459,648,528,538,641,468,536,0,64,331,540,0
460,649,527,537,642,468,539,0,64,371,555,0
461,647,527,535,643,468,540,0,61,287,543,0
462,647,528,535,644,470,539,0,65,342,547,0
463,647,530,536,642,468,539,0,64,302,543,0
464,649,529,537,641,468,539,0,64,335,544,0
465,649,526,536,643,469,538,0,67,347,541,0
466,647,530,534,641,465,539,0,62,302,547,0
467,646,529,533,642,468,540,0,61,377,547,0
468,646,528,536,642,468,538,0,59,346,551,0
469,648,527,537,640,469,538,0,57,322,546,0
470,649,528,536,642,467,538,0,55,337,543,0
471,646,527,535,643,469,539,0,54,359,542,0
472,648,528,537,644,469,540,0,50,341,543,0
473,647,528,536,641,468,538,0,53,307,542,0
474,646,527,534,644,468,537,0,53,305,543,0
475,647,528,533,643,467,538,0,50,335,544,0
476,645,528,534,643,468,540,0,53,355,547,0
477,647,527,537,643,468,537,0,54,317,551,0
478,647,527,536,642,468,537,0,52,310,544,0
479,646,529,535,643,468,537,0,54,302,544,0
480,647,526,537,640,467,537,0,58,291,547,0
481,647,529,536,642,469,538,0,56,341,544,0
482,649,529,537,643,470,538,0,56,368,548,0
483,648,528,536,643,470,538,9,56,301,548,0
484,648,527,536,642,470,539,32,55,325,544,0
485,646,526,536,644,468,538,38,54,328,547,0
486,645,528,535,643,469,538,64,53,312,543,0
487,650,528,536,642,468,538,108,54,325,559,0
488,648,529,536,642,468,537,112,55,377,542,0
489,648,527,537,642,468,538,121,54,386,545,0
490,648,529,534,643,470,538,136,54,311,546,0
491,649,527,536,643,471,540,135,55,418,544,0
492,649,527,538,644,470,539,135,56,323,545,0
493,647,528,536,641,472,543,117,56,304,542,0
494,647,526,535,643,468,537,115,57,304,545,0
495,648,526,536,643,469,539,104,56,351,542,0
496,647,527,537,642,469,539,106,56,374,557,0
497,648,526,533,641,471,540,95,54,308,544,0
498,649,527,536,642,470,539,69,48,290,542,0
499,648,529,536,642,470,539,63,47,281,541,0
500,649,527,537,643,470,539,56,46,353,542,0
501,648,528,536,641,471,539,49,44,283,540,0
502,648,526,535,643,469,538,45,43,400,546,0
503,647,529,536,642,469,539,8,42,312,548,0
504,647,525,534,642,468,538,0,41,325,541,0
505,648,525,534,641,468,539,0,41,384,555,0
506,648,528,536,642,469,539,0,41,308,547,0
507,648,528,537,642,471,539,0,42,332,546,0
508,648,527,536,642,468,538,0,42,288,548,0
509,648,526,535,642,469,539,0,42,331,545,0
510,649,525,533,641,469,537,0,43,306,546,0
511,646,528,536,642,467,540,0,43,297,543,0
512,646,528,536,642,469,539,0,43,337,544,0
513,648,526,536,641,468,539,0,45,276,543,0
514,649,524,535,641,467,537,0,45,357,546,0
515,650,525,536,643,468,537,0,46,362,551,0
516,648,526,535,642,470,538,0,44,295,544,0
517,649,527,536,641,469,538,0,48,391,545,0
518,646,528,536,643,469,539,0,46,282,544,0
519,646,526,536,642,469,540,0,50,342,543,0
520,647,527,535,640,468,539,0,51,301,546,0
521,647,528,535,642,467,537,0,52,338,545,0
522,648,526,535,641,468,539,0,53,291,544,0
523,648,526,535,641,468,539,0,54,304,544,0
524,648,526,536,641,466,540,0,51,299,545,0
525,647,527,535,642,469,539,0,52,283,544,0
526,647,527,536,642,469,540,0,55,371,549,0
527,648,525,537,644,468,539,0,56,337,558,0
528,648,525,537,642,466,538,0,56,327,544,0
529,648,526,535,643,468,538,0,56,334,543,0
530,646,527,535,641,467,539,0,57,346,551,0
531,647,524,536,642,468,538,0,57,389,552,0
532,648,527,536,643,469,540,0,56,287,545,0
533,647,527,535,640,467,537,0,59,295,545,0
534,649,527,535,642,468,538,0,59,288,544,0
535,647,528,537,643,467,537,0,61,346,542,0
536,648,527,535,642,469,539,0,59,322,549,0
537,648,526,536,643,469,540,0,58,352,545,0
538,648,525,538,644,469,539,0,61,327,548,0
539,648,526,536,644,468,537,0,60,356,545,0
540,648,526,535,643,467,538,0,61,368,565,0
541,646,528,535,641,466,536,0,63,283,542,0
542,648,526,535,641,468,537,0,62,287,549,0
543,649,528,535,643,467,537,2,62,348,548,0
544,649,526,534,640,469,537,0,65,280,541,1
545,648,527,534,642,470,538,0,63,366,550,0
546,648,527,535,643,467,538,0,63,335,550,0
547,647,528,534,642,468,538,0,63,322,552,0
548,647,525,534,642,469,537,0,63,309,544,0
549,647,525,534,642,468,538,0,64,323,546,0
550,648,524,534,643,468,538,0,70,301,553,0
551,648,528,536,642,468,536,0,61,311,545,0
552,648,528,536,641,469,535,0,64,330,544,0
553,648,528,535,640,469,538,0,64,288,546,0
554,648,530,534,642,468,539,0,62,343,545,0
555,649,527,535,642,467,538,0,65,332,544,0
556,648,527,536,642,468,540,0,64,298,546,0
557,647,526,534,642,468,540,0,65,350,548,0
558,648,525,535,643,467,539,0,64,332,545,0
559,648,526,535,640,468,540,0,65,318,545,0
560,648,527,537,641,468,541,0,65,376,544,0
561,647,527,537,642,467,538,0,65,286,544,0
562,647,527,532,641,469,539,1,65,291,549,0
563,647,526,534,643,468,539,0,64,400,548,0
564,647,526,535,643,468,539,0,64,370,553,0
565,647,526,535,642,467,540,0,60,287,545,0
566,647,528,537,642,467,538,0,59,288,545,0
567,647,527,536,641,467,537,0,58,329,546,0
568,648,526,536,642,468,539,0,56,336,545,0
569,648,526,534,641,466,537,0,54,310,550,0
570,648,525,534,642,469,538,0,52,348,545,0
571,647,525,534,643,470,539,0,53,348,550,0
572,648,527,535,641,468,540,0,51,349,552,0
573,647,528,535,641,469,539,0,48,343,546,0
574,649,526,534,641,466,541,1,52,303,549,0
575,650,526,534,642,466,540,0,49,387,545,0
576,648,527,536,641,468,537,0,52,313,551,0
